species
Bittarella massiliensis
Blastococcus massiliensis
Blautia caecimuris
Blautia coccoides
Blautia faecis
Blautia glucerasea
Blautia hansenii
Blautia hominis
Blautia hydrogenotrophica
Blautia luti
Blautia marasmi
Blautia massiliensis
Blautia obeum
Blautia phoceensis
Blautia producta
Blautia schinkii
Blautia timonensis
Blautia wexlerae
Bordetella bronchiseptica
Bordetella trematum
Brachybacterium massiliense
Brachybacterium paraconglomeratum
Brassicibacter mesophilus
Brenneria alni
Brevibacillus agri
Brevibacillus borstelensis
Brevibacillus brevis
Brevibacillus choshinensis
Brevibacillus formosus
Brevibacillus laterosporus
Brevibacillus massiliensis
Brevibacillus parabrevis
Brevibacterium casei
Brevibacterium celere
Brevibacterium epidermidis
Brevibacterium halotolerans
Brevibacterium linens
Brevibacterium luteolum
Brevibacterium massiliense
Brevibacterium otitidis
Brevibacterium paucivorans
Brevibacterium phoceense
Brevibacterium pityocampae
Brevibacterium ravenspurgense
Brevibacterium senegalense
Brevinema andersonii
Brevundimonas diminuta
Butyricicoccus pullicaecorum
Butyricimonas massiliensis
Butyricimonas phoceensis
Butyricimonas timonensis
Butyricimonas virosa
Caecumella massiliensis
Calditerricola satsumensis
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter gracilis
Campylobacter jejuni
Campylobacter showae
Campylobacter ureolyticus
Capnocytophaga gingivalis
Capnocytophaga granulosa
Capnocytophaga ochracea
Capnocytophaga sputigena
Caproiciproducens galactitolivorans
Carnobacterium divergens
Carnobacterium maltaromaticum
Carnobacterium mobile
Casaltella massiliensis
Catabacter hongkongensis
Catenibacterium mitsuokai
Cedecea lapagei
Cedecea neteri
Cellulomonas composti
Cellulomonas denverensis
Cellulomonas flavigena
Cellulomonas hominis
Cellulomonas massiliensis
Cellulomonas parahominis
Cellulomonas timonensis
Cellulosimicrobium cellulans
Cerasibacillus quisquiliarum
Christensenella massiliensis
Christensenella minuta
Christensenella timonensis
Chromohalobacter japonicus
Chryseobacterium gleum
Chryseobacterium hominis
Chryseobacterium indologenes
Chryseobacterium taklimakanense
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter gillenii
Citrobacter koseri
Citrobacter murliniae
Citrobacter sedlakii
Citrobacter youngae
Cloacibacillus evryensis
Cloacibacillus porcorum
Clostridium acetireducens
Clostridium aerotolerans
Clostridium aldenense
Clostridium amazonitimonense
Clostridium aminovalericum
Clostridium amygdalinum
Clostridium amylolyticum
Clostridium asparagiforme
Clostridium baratii
Clostridium bartlettii
Clostridium beduini
Clostridium beijerinckii
Clostridium bifermentans
Clostridium bolteae
Clostridium botulinum
Clostridium bouchedurhonense
Clostridium butyricum
Clostridium cadaveris
Clostridium carboxidivorans
Clostridium carnis
Clostridium celatum
Clostridium celerecrescens
Clostridium celerescens
Clostridium citroniae
Clostridium clostridioforme
Clostridium cochlearium
Clostridium cocleatum
Clostridium colicanis
Clostridium culturomicsense
Clostridium dakarense
Clostridium difficile
Clostridium diolis
Clostridium disporicum
Clostridium ghonii
Clostridium glycolicum
Clostridium glycyrrhizinilyticum
Clostridium hathewayi
Clostridium histolyticum
Clostridium hylemonae
Clostridium ihumii
Clostridium indolis
Clostridium innocuum
Clostridium irregulare
Clostridium jeddahense
Clostridium jeddahtimonense
Clostridium lactatifermentans
Clostridium lavalense
Clostridium leptum
Clostridium lituseburense
Clostridium mangenotii
Clostridium marseillense
Clostridium massilioamazoniense
Clostridium massiliodielmoense
Clostridium massiliosenegalense
Clostridium mediterraneense
Clostridium methylpentosum
Clostridium neonatale
Clostridium nexile
Clostridium niameyense
Clostridium nigeriense
Clostridium novyi
Clostridium oroticum
Clostridium paraperfringens
Clostridium paraputrificum
Clostridium perfringens
Clostridium phoceense
Clostridium polynesiense
Clostridium propionicum
Clostridium ramosum
Clostridium rectum
Clostridium saccharogumia
Clostridium saccharolyticum
Clostridium sardiniense
Clostridium sartagoforme
Clostridium saudiense
Clostridium saudii
Clostridium schirmacherense
Clostridium scindens
Clostridium senegalense
Clostridium septicum
Clostridium sordellii
Clostridium sphenoides
Clostridium sporogenes
Clostridium straminisolvens
Clostridium subterminale
Clostridium sulfidigenes
Clostridium symbiosum
Clostridium tertium
Clostridium tetani
Clostridium thermocellum
Clostridium thiosulfatireducens
Clostridium touaregense
Clostridium tyrobutyricum
Clostridium venationis
Clostridium viride
Clostridium xylanolyticum
Colidextra massiliensis
Colidextribacter massiliensis
Collinsella aerofaciens
Collinsella gabonensis
Collinsella ihumii
Collinsella intestinalis
Collinsella massiliensis
Collinsella massilioamazoniensis
Collinsella stercoris
Collinsella tanakaei
Colonella massiliensis
Colwellia psychrotropica
Comamonas kerstersii
Coprobacillus cateniformis
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Corynebacterium accolens
Corynebacterium afermentans
Corynebacterium amycolatum
Corynebacterium appendicis
Corynebacterium aurimucosum
Corynebacterium bouchedurhonense
Corynebacterium coyleae
Corynebacterium doosanense
Corynebacterium durum
Corynebacterium efficiens
Corynebacterium flavescens
Corynebacterium freneyi
Corynebacterium glaucum
Corynebacterium glucuronolyticum
Corynebacterium ihumii
Corynebacterium jeddahense
Corynebacterium karolinskerse
Corynebacterium kroppenstedtii
Corynebacterium lascolaense
Corynebacterium lipophiloflavum
Corynebacterium minutissimum
Corynebacterium mucifaciens
Corynebacterium pacaense
Corynebacterium propinquum
Corynebacterium provencense
Corynebacterium pseudodiphtheriticum
Corynebacterium pseudogenitalium
Corynebacterium riegelii
Corynebacterium simulans
Corynebacterium striatum
Corynebacterium suicordis
Corynebacterium sundsvallense
Corynebacterium tuberculostearicum
Corynebacterium urealyticum
Corynebacterium ureicelerivorans
Corynebacterium variabile
Cronobacter sakazakii
Cryptobacterium curtum
Culturomica massiliensis
Curtobacterium flaccumfaciens
Cutibacterium acnes
Dakarella massiliensis
Delftia tsuruhatensis
Dermabacter hominis
Dermacoccus barathri
Dermacoccus nishinomiyaensis
Desemzia incerta
Desnuesiella massiliensis
Desulfomassilia massiliensis
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Desulfovibrio intestinalis
Desulfovibrio piger
Dialister invisus
Dialister pneumosintes
Dielma fastidiosa
Dietzia cinnamea
Dietzia maris
Dietzia natronolimnaea
Dorea formicigenerans
Dorea longicatena
Dorea massiliensis
Drancourtella massiliensis
Drancourtella timonensis
Duodena massiliensis
Eggerthella lenta
Eggerthella timonensis
Eikenella corrodens
Eisenbergiella massiliensis
Eisenbergiella tayi
Elizabethkingia meningoseptica
Elizabethkingia miricola
Emergencia timonensis
Empedobacter brevis
Enorma massiliensis
Enorma timonensis
Enterobacter aerogenes
Enterobacter asburiae
Enterobacter cloacae
Enterobacter hormaechei
Enterobacter kobei
Enterobacter ludwigii
Enterobacter massiliensis
Enterobacter timonensis
Enterococcus asini
Enterococcus avium
Enterococcus canintestini
Enterococcus canis
Enterococcus casseliflavus
Enterococcus cecorum
Enterococcus devriesei
Enterococcus diestrammenae
Enterococcus dispar
Enterococcus durans
Enterococcus eurekensis
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus gilvus
Enterococcus hermanniensis
Enterococcus hirae
Enterococcus italicus
Enterococcus malodoratus
Enterococcus massiliensis
Enterococcus mundtii
Enterococcus pallens
Enterococcus phoeniculicola
Enterococcus pseudoavium
Enterococcus raffinosus
Enterococcus rivorum
Enterococcus thailandicus
Enterococcus villorum
Enterorhabdus caecimuris
Enterorhabdus muris
Erysipelatoclostridium ramosum
Escherichia coli
Escherichia fergusonii
Escherichia hermannii
Escherichia marmotae
Eubacterium callanderi
Eubacterium cellulosolvens
Eubacterium contortum
Eubacterium cylindroides
Eubacterium eligens
Eubacterium fissicatena
Eubacterium hallii
Eubacterium infirmum
Eubacterium limosum
Eubacterium massiliense
Eubacterium moniliforme
Eubacterium ramulus
Eubacterium rectale
Eubacterium siraeum
Eubacterium tenue
Eubacterium tortuosum
Eubacterium xylanophilum
Eubacterium yurii
Exiguobacterium aurantiacum
Extibacter muris
Facklamia hominis
Facklamia languida
Facklamia tabacinasalis
Faecalibacterium prausnitzii
Faecalicatena contorta
Faecalicatena orotica
Faecalimonas umbilicata
Faecalitalea cylindroides
Fastidiosipila sanguinis
Fenollaria massiliensis
Filifactor villosus
Finegoldia magna
Flaviflexus massiliensis
Flavobacterium lindanitolerans
Flavonifractor plautii
Flintibacter butyricus
Fournierella massiliensis
Frisingicoccus caecimuris
Fusicatenibacter saccharivorans
Fusobacterium canifelinum
Fusobacterium massiliense
Fusobacterium mortiferum
Fusobacterium naviforme
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium varium
Gabonia massiliensis
Gardnerella vaginalis
Gemella haemolysans
Gemella morbillorum
Gemella sanguinis
Gemmiger formicilis
Geobacillus stearothermophilus
Geobacillus vulcani
Georgenia muralis
Globicatella sulfidifaciens
Gorbachella massiliensis
Gordonia rubripertincta
Gordonibacter faecihominis
Gordonibacter massiliense
Gordonibacter pamelaeae
Gordonibacter urolithinfaciens
Gorillibacterium timonense
Gracilibacillus diposauri
Gracilibacillus massiliensis
Gracilibacillus thailandensis
Gracilibacillus timonensis
Granulicatella adiacens
Granulicatella elegans
Granulicatella paraadiacens
Guyana massiliensis
Haemophilus haemolyticus
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus pittmaniae
Hafnia alvei
Halobacillus dabanensis
Halobacillus karajensis
Halobacillus salinus
Halobacillus trueperi
Halomonas massiliensis
Halomonas salina
Harryflintia acetispora
Helcobacillus massiliensis
Helicobacter pylori
Herbaspirillum massiliense
Herbinix luporum
Holdemania filiformis
Holdemania massiliensis
Holdemania timonensis
Hugonella massiliensis
Hungatella effluvii
Hungatella hathewayi
Ihubacter massiliensis
Ihuella massiliensis
Ihuprevotella massiliensis
Ileibacterium massiliense
Ileobacterium massiliense
Intestinibacter bartlettii
Intestinimonas butyriciproducens
Intestinimonas gabonensis
Intestinimonas massiliensis
Intestinimonas phoceensis
Intestinimonas timonensis
Isoptericola variabilis
Janibacter hoylei
Jeddahella massiliensis
Kallipyga gabonensis
Kallipyga massiliensis
Kerstersia gyiorum
Khelaifiabacterium massiliense
Kineothrix alysoides
Kingella denitrificans
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella variicola
Kluyvera cryocrescens
Kluyvera georgiana
Kocuria halotolerans
Kocuria koreensis
Kocuria kristinae
Kocuria marina
Kocuria palustris
Kocuria polaris
Kocuria rhizophila
Kocuria rosea
Kocuria varians
Kosakonia cowanii
Kroppenstedtia pulmonis
Kurthia gibsonii
Kurthia massiliensis
Kurthia senegalensis
Kurthia timonensis
Kushneria sinocarnis
Kytococcus schroeteri
Kytococcus sedentarius
Lachnoanaerobaculum orale
Lachnoclostridium pacaense
Lachnoclostridium timonense
Lachnospira pectinoschiza
Lachnotalea glycerini
Lactobacillus acidipiscis
Lactobacillus acidophilus
Lactobacillus agilis
Lactobacillus amylovorus
Lactobacillus animalis
Lactobacillus antri
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus coryniformis
Lactobacillus crispatus
Lactobacillus curvatus
Lactobacillus delbrueckii
Lactobacillus dextrinicus
Lactobacillus diolivorans
Lactobacillus fermentum
Lactobacillus frumenti
Lactobacillus gasseri
Lactobacillus gastricus
Lactobacillus harbinensis
Lactobacillus ingluviei
Lactobacillus johnsonii
Lactobacillus kalixensis
Lactobacillus kefiri
Lactobacillus mali
Lactobacillus mucosae
Lactobacillus murinus
Lactobacillus oligofermentans
Lactobacillus oris
Lactobacillus otakiensis
Lactobacillus panis
Lactobacillus parabuchneri
Lactobacillus paracasei
Lactobacillus pentosus
Lactobacillus perolens
Lactobacillus plantarum
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus saerimneri
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus satsumensis
Lactobacillus ultunensis
Lactobacillus vaccinostercus
Lactobacillus vaginalis
Lactobacillus zeae
Lactococcus garvieae
Lactococcus lactis
Lactonifactor longoviformis
Lagierella massiliensis
Lascolabacillus massiliensis
Leclercia adecarboxylata
Lelliottia amnigena
Lentibacillus massiliensis
Leptotrichia buccalis
Leptotrichia massiliensis
Leuconostoc citreum
Leuconostoc lactis
Leuconostoc mesenteroides
Leuconostoc pseudomesenteroides
Listeria innocua
Litorilituus sediminis
Longibaculum muris
Lutispora thermophila
Lysinibacillus boronitolerans
Lysinibacillus fusiformis
Lysinibacillus macroides
Lysinibacillus massiliensis
Lysinibacillus meyeri
Lysinibacillus sphaericus
Lysinibacillus varians
Lysinibacillus xylanilyticus
Lysobacter soli
Macellibacteroides fermentans
Malnutritionisia massiliensis
Marseilla massiliensis
Marseillobacter massiliensis
Marseillococcus timonensis
Massilioamazonia massiliensis
Massiliobacillus massiliensis
Massiliobacterium senegalense
Massilioculturomica massiliensis
Massiliomaliae massiliensis
Massiliomicrobiota timonensis
Massilioprevotella massiliensis
Mediannikovella massiliensis
Mediterranea massiliensis
Megasphaera elsdenii
Megasphaera massiliensis
Megasphaera micronuciformis
Metaprevotella massiliensis
Methylobacterium radiotolerans
Microbacterium aurum
Microbacterium foliorum
Microbacterium gubbeenense
Microbacterium hydrocarbonoxydans
Microbacterium kitamiense
Microbacterium lacticum
Microbacterium liquefaciens
Microbacterium maritypicum
Microbacterium natoriense
Microbacterium oleivorans
Microbacterium oxydans
Microbacterium paraoxydans
Microbacterium phyllosphaerae
Microbacterium saccharophilum
Microbacterium schleiferi
Micrococcus endophyticus
Micrococcus luteus
Micrococcus lylae
Micromassilia timonensis
Micromonospora aurantiaca
Microvirga massiliensis
Mitsuokella jalaludinii
Mobilicoccus massiliensis
Mobilobacillus massiliensis
Moellerella wisconsensis
Monoglobus pectinilyticus
Moraxella osloensis
Morganella morganii
Moryella indoligenes
Murdochiella asaccharolytica
Murdochiella massiliensis
Murdochiella timonensis
Mycobacterium abscessus
Mycobacterium avium
Mycobacterium bovis
Mycobacterium colombiense
Mycobacterium fortuitum
Mycobacterium kansasii
Mycobacterium lentiflavum
Mycobacterium paratuberculosis
Mycobacterium tuberculosis
Myroides odoratimimus
Myroides odoratus
Ndiopella massiliensis
Negativibacillus massiliensis
Negativicoccus massiliensis
Negativicoccus succinicivorans
Neglecta timonensis
Neisseria canis
Neisseria cinerea
Neisseria elongata
Neisseria flavescens
Neisseria gonorrhoeae
Neisseria macacae
Neisseria meningitidis
Neisseria mucosa
Neisseria perflava
Neisseria subflava
Neofamilia massiliensis
Nesterenkonia massiliensis
Niameyia massiliensis
Nigerium massiliense
Nocardioides jensenii
Nocardioides massiliense
Nosocomiicoccus massiliensis
Novibacillus thermophilus
Noviherbaspirillum denitrificans
Numidum massiliense
Oceanobacillus iheyensis
Oceanobacillus jeddahense
Oceanobacillus manasiensis
Oceanobacillus massiliensis
Oceanobacillus oncorhynchi
Oceanobacillus picturae
Oceanobacillus sojae
Ochrobactrum anthropi
Ochrobactrum tritici
Odoribacter splanchnicus
Oerskovia turbata
Olegusella massiliensis
Oligella urethralis
Olsenella massiliensis
Olsenella phoceensis
Olsenella profusa
Olsenella provencensis
Olsenella scatoligenes
Olsenella timonensis
Olsenella uli
Ornithinibacillus contaminans
Oscilibacter massiliensis
Oscillibacter ruminantium
Oscillibacter valericigenes
Oxalobacter formigenes
Pacaella massiliensis
Paenibacillus abekawaensis
Paenibacillus alvei
Paenibacillus amylolyticus
Paenibacillus anaericanus
Paenibacillus antibioticophila
Paenibacillus azoreducens
Paenibacillus barcinonensis
Paenibacillus barengoltzii
Paenibacillus bouchesduthonensis
Paenibacillus brasilensis
Paenibacillus cineris
Paenibacillus daejeonensis
Paenibacillus dendritiformis
Paenibacillus favisporus
Paenibacillus glucanolyticus
Paenibacillus ihumii
Paenibacillus illinoisensis
Paenibacillus jamilae
Paenibacillus lactis
Paenibacillus larvae
Paenibacillus lautus
Paenibacillus macerans
Paenibacillus marasmiensis
Paenibacillus motobuensis
Paenibacillus naphthalenovorans
Paenibacillus numidis
Paenibacillus odorifer
Paenibacillus pabuli
Paenibacillus pasadenensis
Paenibacillus phoceensis
Paenibacillus polymyxa
Paenibacillus provencensis
Paenibacillus pueri
Paenibacillus reamassiliensis
Paenibacillus rhizosphaerae
Paenibacillus rubiinfantis
Paenibacillus senegalensis
Paenibacillus senegalomassiliensis
Paenibacillus stellifer
Paenibacillus thiaminolyticus
Paenibacillus timonensis
Paenibacillus touaregensis
Paenibacillus typhae
Paenibacillus tyraminigenes
Paenibacillus urinalis
Paenibacillus xylanilyticus
Paeniclostridium sordellii
Paludicola psychrotolerans
Pantoea agglomerans
Pantoea calida
Pantoea septica
Papillibacter cinnamivorans
Parabacteroides distasonis
Parabacteroides faecis
Parabacteroides goldsteinii
Parabacteroides gordonii
Parabacteroides johnsonii
Parabacteroides massiliense
Parabacteroides merdae
Paraclostridium bifermentans
Paracoccus yeei
Paraliobacillus massiliensis
Paraliobacillus quinghaiensis
Paraprevotella clara
Parasutterella excrementihominis
Parvimonas micra
Paucisalibacillus globulus
Pediococcus acidilactici
Pediococcus pentosaceus
Peptoniphilus asaccharolyticus
Peptoniphilus duodenumensis
Peptoniphilus gorbachii
Peptoniphilus grossensis
Peptoniphilus harei
Peptoniphilus indolicus
Peptoniphilus koenoeneniae
Peptoniphilus lacrimalis
Peptoniphilus lacriminalis
Peptoniphilus obesi
Peptoniphilus obesihominis
Peptoniphilus pacaensis
Peptoniphilus phoceensis
Peptoniphilus senegalensis
Peptoniphilus timonensis
Peptoniphilus urinimassiliensis
Peptostreptococcus anaerobius
Peptostreptococcus russellii
Peptostreptococcus stomatis
Petrimonas sulfuriphila
Phascalarctobacterium succinatutens
Phascolarctobacterium faecium
Phascolarctobacterium HB-695
Phascolarctobacterium succinatutens
Phocea massiliensis
Planococcus massiliensis
Planococcus rifietoensis
Planomicrobium chinense
Planomicrobium okeanokoites
Polynesia massiliensis
Porphyromonas asaccharolytica
Porphyromonas bennonis
Porphyromonas somerae
Prevotella albensis
Prevotella bergensis
Prevotella bivia
